Generation,Avg. fitness,Best fitness,Peak fitness,Hp contacts,Overlaps,Mutation rate
0,2.0275534607149965,6.0,6.0,6,0,0
1,2.7580538310180995,6.0,6.0,6,0,66
2,3.6421167751101153,10.0,10.0,10,0,185
3,4.696142416194914,12.0,12.0,12,0,582
4,5.066161224962492,13.0,13.0,13,0,1528
5,5.026695960146174,13.0,13.0,13,0,2535
6,5.595608187934295,15.0,15.0,15,0,2333
7,5.784862181509941,15.0,15.0,15,0,2380
8,6.290045482831758,16.0,16.0,16,0,2118
9,6.855817061623442,16.0,16.0,16,0,1853
10,8.019172751681445,20.0,20.0,20,0,1629
11,7.9184371451862505,20.0,20.0,20,0,1976
12,7.503142905173993,19.0,20.0,19,0,2339
13,7.163510076878266,19.0,20.0,19,0,2520
14,7.69425560075287,20.0,20.0,20,0,2522
15,7.23544684505237,20.0,20.0,20,0,2499
16,7.357273714676471,21.0,21.0,21,0,2479
17,7.521151894204356,21.0,21.0,21,0,2471
18,7.589537167951872,23.0,23.0,23,0,2487
19,7.583249104145004,22.0,23.0,22,0,2466
20,7.394146938367939,22.0,23.0,22,0,2441
21,7.714013613439403,22.0,23.0,22,0,2404
22,7.735069710866731,22.0,23.0,22,0,2382
23,7.610354971176423,21.0,23.0,21,0,2365
24,7.870927959622509,23.0,23.0,23,0,2367
25,8.118765143902477,23.0,23.0,23,0,2369
26,7.8172863244654165,22.0,23.0,22,0,2353
27,7.781573222133598,23.0,23.0,23,0,2362
28,8.098115584625159,23.0,23.0,23,0,2352
29,7.968502267190005,23.0,23.0,23,0,2356
30,8.17583272271074,23.0,23.0,23,0,2371
31,7.992602530146046,23.0,23.0,23,0,2358
32,8.139343330817487,24.0,24.0,24,0,2365
33,8.115353035542633,24.0,24.0,24,0,2426
34,7.84773837678094,24.0,24.0,24,0,2484
35,7.766822696011237,24.0,24.0,24,0,2494
36,7.6786679043364225,26.0,26.0,26,0,2539
37,7.820176322378452,26.0,26.0,26,0,2605
38,7.456074238031764,25.0,26.0,25,0,2614
39,7.485328222221335,26.0,26.0,26,0,2560
40,7.77346888998317,26.0,26.0,26,0,2591
41,7.720257053457289,25.0,26.0,25,0,2557
42,8.041368028307554,25.0,26.0,25,0,2496
43,7.767459605897571,25.0,26.0,25,0,2517
44,8.111919679796019,25.0,26.0,25,0,2530
45,7.789302573754349,25.0,26.0,25,0,2514
46,7.793824539532756,25.0,26.0,25,0,2497
47,8.10141090897411,26.0,26.0,26,0,2472
48,7.820468520686715,25.0,26.0,25,0,2480
49,8.152066384200845,25.0,26.0,25,0,2473
50,8.108915961207096,26.0,26.0,26,0,2473
51,8.194848659083345,26.0,26.0,26,0,2496
52,7.96705409298309,25.0,26.0,25,0,2539
53,8.128097912483796,26.0,26.0,26,0,2512
54,8.017328676638476,26.0,26.0,26,0,2520
55,7.954685575944675,28.0,28.0,28,0,2530
56,8.236868517982588,28.0,28.0,28,0,2518
57,8.432379010236074,28.0,28.0,28,0,2500
58,8.277251225780066,28.0,28.0,28,0,2557
59,8.057481238268393,28.0,28.0,28,0,2569
60,8.404850930299547,31.0,31.0,31,0,2561
61,8.389433548513317,28.0,31.0,28,0,2550
62,8.384662659099396,29.0,31.0,29,0,2561
63,8.282191269842857,28.0,31.0,28,0,2529
64,8.637042748475064,28.0,31.0,28,0,2488
65,8.700529701299475,28.0,31.0,28,0,2443
66,8.946566367321179,28.0,31.0,28,0,2445
67,8.619899807225307,28.0,31.0,28,0,2480
68,8.99581065395633,28.0,31.0,28,0,2468
69,8.837367609922826,28.0,31.0,28,0,2488
70,8.771325570985372,29.0,31.0,29,0,2472
71,9.309888875132698,29.0,31.0,29,0,2441
72,9.28054382999894,29.0,31.0,29,0,2448
73,9.22033566255516,29.0,31.0,29,0,2506
74,8.704789628476572,29.0,31.0,29,0,2532
75,8.76126619434981,29.0,31.0,29,0,2529
76,8.767304426103184,29.0,31.0,29,0,2533
77,8.660852312388265,29.0,31.0,29,0,2591
78,8.986494029003206,29.0,31.0,29,0,2621
79,8.714974516037516,28.0,31.0,28,0,2691
80,8.66682566798496,28.0,31.0,28,0,2719
81,8.31680947857498,29.0,31.0,29,0,2728
82,8.41027829469974,28.0,31.0,28,0,2749
83,8.512768650600309,28.0,31.0,28,0,2724
84,8.864720674277628,27.0,31.0,27,0,2726
85,8.475802677217843,28.0,31.0,28,0,2764
86,8.215786391139144,28.0,31.0,28,0,2764
87,8.080518105756004,28.0,31.0,28,0,2728
88,8.379805639673906,28.0,31.0,28,0,2712
89,8.180415994303438,28.0,31.0,28,0,2726
90,8.046958290740786,29.0,31.0,29,0,2754
91,8.057137460320238,27.0,31.0,27,0,2758
92,7.992382008890813,27.0,31.0,27,0,2758
93,7.95370424773214,26.0,31.0,26,0,2731
94,8.218235827011876,26.0,31.0,26,0,2708
95,8.476938111958603,28.0,31.0,28,0,2690
96,8.445969599129947,27.0,31.0,27,0,2687
97,8.289170447296614,27.0,31.0,27,0,2686
98,7.991991297354618,27.0,31.0,27,0,2700
99,8.409360387183563,28.0,31.0,28,0,2689
100,8.652074873349742,27.0,31.0,27,0,2715
101,8.419601305324877,27.0,31.0,27,0,2694
102,8.248349638746218,28.0,31.0,28,0,2691
103,8.571814596333342,28.0,31.0,28,0,2660
104,8.960333584865472,28.0,31.0,28,0,2644
105,8.70824291159048,27.0,31.0,27,0,2653
106,8.936255717523668,29.0,31.0,29,0,2645
107,8.3672858367219,28.0,31.0,28,0,2653
108,8.308821171729925,30.0,31.0,30,0,2684
109,8.373901237045668,30.0,31.0,30,0,2730
110,8.569370154150539,30.0,31.0,30,0,2709
111,8.722003084672583,30.0,31.0,30,0,2740
112,8.509459674679254,31.0,31.0,31,0,2794
113,8.378781533306235,30.0,31.0,30,0,2814
114,8.183113572520227,28.0,31.0,28,0,2800
115,8.302146296794817,28.0,31.0,28,0,2781
116,8.033489467662978,28.0,31.0,28,0,2753
117,7.981646149745212,29.0,31.0,29,0,2728
118,8.541135561902086,31.0,31.0,31,0,2736
119,8.096633627544067,28.0,31.0,28,0,2720
120,8.05194885355644,29.0,31.0,29,0,2734
121,8.315449676452628,29.0,31.0,29,0,2695
122,8.008810562822951,30.0,31.0,30,0,2706
123,8.341136156209283,30.0,31.0,30,0,2664
124,8.396217827349739,30.0,31.0,30,0,2708
125,8.561812593393185,29.0,31.0,29,0,2729
126,8.452715794706645,29.0,31.0,29,0,2737
127,8.448566687647302,28.0,31.0,28,0,2722
128,8.564865656104065,27.0,31.0,27,0,2734
129,8.717463034242586,28.0,31.0,28,0,2733
130,8.695605732370918,28.0,31.0,28,0,2722
131,8.376986022769943,28.0,31.0,28,0,2738
132,8.950290315510168,29.0,31.0,29,0,2735
133,8.44289205514823,29.0,31.0,29,0,2701
134,8.71601451793093,29.0,31.0,29,0,2684
135,8.578910225497568,30.0,31.0,30,0,2650
136,8.275940752527658,29.0,31.0,29,0,2668
137,8.699106772841146,29.0,31.0,29,0,2701
138,8.649408734617184,28.0,31.0,28,0,2695
139,8.38871084981738,29.0,31.0,29,0,2700
140,8.81698948973073,29.0,31.0,29,0,2693
141,8.904113727239016,28.0,31.0,28,0,2654
142,8.80360641493002,30.0,31.0,30,0,2679
143,8.90374298872969,30.0,31.0,30,0,2680
144,8.74711431552003,30.0,31.0,30,0,2689
145,8.591307894033077,30.0,31.0,30,0,2684
146,8.478094241940804,28.0,31.0,28,0,2682
147,8.860930611767593,28.0,31.0,28,0,2665
