Generation,Avg. fitness,Best fitness,Peak fitness,Hp contacts,Overlaps,Mutation rate
0,2.051544717795485,8.0,8.0,8,0,0
1,2.903829038470499,8.0,8.0,8,0,68
2,4.150458728908608,13.0,13.0,13,0,207
3,5.968550887511179,14.0,14.0,14,0,512
4,5.768939157136433,14.0,14.0,14,0,1895
5,5.141855581185978,16.0,16.0,16,0,2907
6,5.883553124649933,17.0,17.0,17,0,2286
7,6.405021010562766,19.0,19.0,19,0,2188
8,6.521099850181022,18.0,19.0,18,0,2465
9,6.281004717702811,19.0,19.0,19,0,2675
10,6.197347893753288,18.0,19.0,18,0,2707
11,6.247149661346411,19.0,19.0,19,0,2653
12,6.617261732038854,22.0,22.0,22,0,2640
13,6.632676300417014,22.0,22.0,22,0,2562
14,6.981426167195147,22.0,22.0,22,0,2540
15,7.045324024491153,22.0,22.0,22,0,2494
16,6.996869496607549,22.0,22.0,22,0,2498
17,7.120384288431108,22.0,22.0,22,0,2454
18,7.498411548782125,24.0,24.0,24,0,2371
19,7.425051273279045,24.0,24.0,24,0,2343
20,7.5852776303284895,27.0,27.0,27,0,2304
21,7.884752962891086,27.0,27.0,27,0,2272
22,7.9558969869088685,30.0,30.0,30,0,2208
23,8.443238613132884,30.0,30.0,30,0,2263
24,8.071464209170507,30.0,30.0,30,0,2309
25,8.175253555685163,30.0,30.0,30,0,2442
26,8.040682473971803,30.0,30.0,30,0,2523
27,8.098654250371576,30.0,30.0,30,0,2543
28,8.038172794886707,30.0,30.0,30,0,2584
29,7.954707298425312,30.0,30.0,30,0,2653
30,7.864515374012838,30.0,30.0,30,0,2683
31,7.9214930494018185,30.0,30.0,30,0,2711
32,7.823779568165799,30.0,30.0,30,0,2731
33,8.009878129367536,30.0,30.0,30,0,2713
34,7.794839375244722,30.0,30.0,30,0,2703
35,7.590456901588067,30.0,30.0,30,0,2775
36,7.618953293294603,29.0,30.0,29,0,2781
37,7.500518561379319,29.0,30.0,29,0,2772
38,7.94189544882006,29.0,30.0,29,0,2746
39,7.661065674934598,28.0,30.0,28,0,2738
40,7.540886542423865,28.0,30.0,28,0,2746
41,7.76682999092675,28.0,30.0,28,0,2750
42,7.943114292140541,31.0,31.0,31,0,2708
43,7.593121111492361,31.0,31.0,31,0,2740
44,7.559571236099009,27.0,31.0,27,0,2780
45,7.794271337708393,29.0,31.0,29,0,2781
46,7.8203736068835195,29.0,31.0,29,0,2749
47,7.750813762162983,28.0,31.0,28,0,2763
48,7.792712092681348,29.0,31.0,29,0,2740
49,8.228880115786655,29.0,31.0,29,0,2700
50,8.121105137389932,30.0,31.0,30,0,2676
51,8.132456151992532,30.0,31.0,30,0,2674
52,8.15476477473616,29.0,31.0,29,0,2684
53,8.142053850660032,30.0,31.0,30,0,2688
54,7.857741622106409,31.0,31.0,31,0,2659
55,8.064662043596366,31.0,31.0,31,0,2633
56,8.246398341735572,31.0,31.0,31,0,2636
57,8.391109800685799,31.0,31.0,31,0,2647
58,8.22263568037827,31.0,31.0,31,0,2667
59,7.690215609167626,31.0,31.0,31,0,2705
60,7.997143393913316,31.0,31.0,31,0,2686
61,8.096643909339917,31.0,31.0,31,0,2694
